bias_level,model,train_size,accuracy,roc_auc,log_loss
0.1,LR,409,0.9824561403508771,0.996031746031746,0.07405985726680164
0.1,RF,409,0.956140350877193,0.9940476190476191,0.1106829771993255
0.2,LR,364,0.9824561403508771,0.9963624338624338,0.07179183117337667
0.2,RF,364,0.9473684210526315,0.9953703703703703,0.11795846819121565
0.3,LR,318,0.9912280701754386,0.9966931216931216,0.07055535253406087
0.3,RF,318,0.9473684210526315,0.9955357142857143,0.17969247097127908
0.4,LR,273,0.9736842105263158,0.9963624338624338,0.08227748733266568
0.4,RF,273,0.9122807017543859,0.9821428571428571,0.2782075288286299
0.5,LR,228,0.9736842105263158,0.9976851851851852,0.08539978496636266
0.5,RF,228,0.7894736842105263,0.9732142857142857,0.3854517230435666
